Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2022-01-02T18:30:00.000Z,1895,1937.45,1893.65,1922.85,1.42,1.31,"19,06,676"
2022-01-03T18:30:00.000Z,1922.85,1943,1914.55,1937.55,0.76,0.65,"16,43,920"
2022-01-04T18:30:00.000Z,1940.7,1951,1927.65,1948.6,0.57,0.46,"17,11,667"
2022-01-05T18:30:00.000Z,1944.5,1953,1919.6,1924.5,-1.24,-1.35,"13,72,015"
2022-01-06T18:30:00.000Z,1929.05,1934.95,1897.15,1904.9,-1.02,-1.13,"14,47,123"
2022-01-09T18:30:00.000Z,1910,1959.95,1907.25,1953.1,2.53,2.42,"23,97,846"
2022-01-10T18:30:00.000Z,1949,1970,1937.65,1961.15,0.41,0.3,"22,32,435"
2022-01-11T18:30:00.000Z,1978.5,1984,1960.3,1974.2,0.67,0.55,"15,85,970"
2022-01-12T18:30:00.000Z,1975.55,2029,1975.55,2018.4,2.24,2.13,"23,73,324"
2022-01-13T18:30:00.000Z,2014,2049.95,2007,2044.75,1.31,1.19,"31,24,945"
2022-01-16T18:30:00.000Z,2044.75,2071.95,2042,2069.4,1.21,1.09,"18,58,651"
2022-01-17T18:30:00.000Z,2075.65,2078.55,2010.55,2022.2,-2.28,-2.39,"14,60,676"
2022-01-18T18:30:00.000Z,2019.9,2027,1987,2020.9,-0.06,-0.18,"23,36,679"
2022-01-19T18:30:00.000Z,2020,2035,1984.1,2003.5,-0.86,-0.97,"20,31,107"
2022-01-20T18:30:00.000Z,1982.15,1994.8,1943.05,1956.05,-2.37,-2.48,"22,09,132"
2022-01-23T18:30:00.000Z,1955,1959,1881.55,1899.9,-2.87,-2.98,"23,07,120"
2022-01-24T18:30:00.000Z,1895,1931.3,1850.1,1925.3,1.34,1.22,"29,98,042"
2022-01-26T18:30:00.000Z,1914.55,1922,1867,1910.85,-0.75,-0.86,"29,32,713"
2022-01-27T18:30:00.000Z,1916.1,1948,1891.3,1897.55,-0.7,-0.81,"22,33,620"
2022-01-30T18:30:00.000Z,1890.2,1924,1850.45,1909.2,0.61,0.5,"31,61,064"
2022-01-31T18:30:00.000Z,1928.65,1999.9,1917,1990.5,4.26,4.15,"53,92,787"
2022-02-01T18:30:00.000Z,1995.1,2008,1970.6,1982.7,-0.39,-0.5,"35,79,380"
2022-02-02T18:30:00.000Z,1981.5,1985,1930,1933.65,-2.47,-2.59,"22,62,217"
2022-02-03T18:30:00.000Z,1948,1957.8,1923.3,1947.95,0.74,0.63,"14,40,816"
2022-02-06T18:30:00.000Z,1932.5,1947.5,1874.55,1884.5,-3.26,-3.37,"26,41,464"
2022-02-07T18:30:00.000Z,1890,1896.95,1848,1875.6,-0.47,-0.58,"20,40,523"
2022-02-08T18:30:00.000Z,1884.5,1899.9,1875.6,1888.8,0.7,0.59,"13,90,810"
2022-02-09T18:30:00.000Z,1892,1911,1881,1901,0.65,0.53,"12,88,856"
2022-02-10T18:30:00.000Z,1889,1889,1850,1871.25,-1.56,-1.68,"17,44,894"
2022-02-13T18:30:00.000Z,1843.25,1846.95,1795,1799,-3.86,-3.97,"22,90,199"
2022-02-14T18:30:00.000Z,1810,1882,1806.15,1876.05,4.28,4.17,"26,02,134"
2022-02-15T18:30:00.000Z,1876.05,1887.3,1842.15,1860.7,-0.82,-0.93,"18,98,439"
2022-02-16T18:30:00.000Z,1869,1884.9,1854.1,1868.7,0.43,0.32,"14,59,905"
2022-02-17T18:30:00.000Z,1870,1896,1865.15,1883.1,0.77,0.66,"19,12,482"
2022-02-20T18:30:00.000Z,1874.95,1883.9,1848.85,1863.95,-1.02,-1.13,"12,62,585"
2022-02-21T18:30:00.000Z,1813,1855,1800.5,1844.45,-1.05,-1.16,"22,88,298"
2022-02-22T18:30:00.000Z,1849,1852,1816.15,1820.3,-1.31,-1.42,"15,83,872"
2022-02-23T18:30:00.000Z,1783.25,1800,1751,1757.35,-3.46,-3.57,"36,16,355"
2022-02-24T18:30:00.000Z,1782,1798.7,1765,1777.05,1.12,1.01,"24,76,882"
2022-02-27T18:30:00.000Z,1764.9,1822.25,1752.8,1816.75,2.23,2.12,"25,53,662"
2022-03-01T18:30:00.000Z,1800,1826.95,1768.5,1784.5,-1.78,-1.89,"31,52,628"
2022-03-02T18:30:00.000Z,1810,1813.55,1745.55,1752.3,-1.8,-1.92,"22,59,979"
2022-03-03T18:30:00.000Z,1740,1754.05,1703,1711.75,-2.31,-2.43,"39,06,819"
2022-03-06T18:30:00.000Z,1658.25,1666.8,1605.55,1634.45,-4.52,-4.63,"63,18,251"
2022-03-07T18:30:00.000Z,1627.9,1666,1595,1658.5,1.47,1.36,"44,21,730"
2022-03-08T18:30:00.000Z,1676.5,1699.8,1650.05,1690.95,1.96,1.84,"33,06,502"
2022-03-09T18:30:00.000Z,1740,1758,1707,1728.2,2.2,2.09,"27,76,325"
2022-03-10T18:30:00.000Z,1720,1735.45,1705.8,1728.65,0.03,-0.09,"15,77,597"
2022-03-13T18:30:00.000Z,1735,1754,1715.5,1746.75,1.05,0.93,"15,58,334"
2022-03-14T18:30:00.000Z,1748,1765,1726.6,1743.45,-0.19,-0.3,"20,62,332"
2022-03-15T18:30:00.000Z,1761,1770.65,1746.2,1756.2,0.73,0.62,"21,01,909"
2022-03-16T18:30:00.000Z,1781.15,1804.6,1768.45,1787.9,1.81,1.69,"33,83,036"
2022-03-20T18:30:00.000Z,1805,1805,1745,1756.3,-1.77,-1.88,"23,01,462"
2022-03-21T18:30:00.000Z,1756.3,1777,1721.15,1774.05,1.01,0.9,"39,86,030"
2022-03-22T18:30:00.000Z,1780,1791.55,1759.15,1767.25,-0.38,-0.5,"15,74,226"
2022-03-23T18:30:00.000Z,1755,1779.7,1751,1771.55,0.24,0.13,"15,80,887"
2022-03-24T18:30:00.000Z,1775.6,1777.9,1739,1751.1,-1.15,-1.27,"14,83,897"
